English,Portuguese
you,vocês
i,eu
the,a
to,para
a,uma
it,isto
and,e
that,este
of,do
is,é
in,dentro
what,o que
we,nós
me,Eu
this,isto
he,ele
for,por
my,minha
on,sobre
have,tenho
your,sua
do,Faz
was,foi
no,não
not,não
be,ser
are,são
don,vestir
re,ré
know,conhecer
can,posso
with,com
but,mas
all,tudo
so,assim
just,apenas
there,lá
here,aqui
they,elas
like,Curti
ll,ll
get,pegue
she,ela
go,vai
if,E se
right,certo
out,Fora
about,cerca de
up,acima
at,no
him,dele
now,agora
oh,oh
one,1
come,venha
well,Nós vamos
her,sua
how,Como as
yeah,sim
ve,ve
will,vai
got,pegou
want,querer
think,acho
as,Como
see,Vejo
did,fez
good,Boa
who,quem
why,Por quê
from,a partir de
let,deixar
his,seu
yes,sim
when,quando
going,indo
time,Tempo
an,um
okay,ok
back,de volta
look,olhar
us,nós
them,eles
were,nós estamos
take,leva
then,então
had,teve
or,ou
been,estive
our,nosso
gonna,vai
tell,dizer
man,cara
some,algum
say,dizer
hey,Ei
could,poderia
d,d
didn,não
by,por
need,precisar
has,tem
too,também
more,mais
way,caminho
down,baixa
make,faço
very,muito
never,Nunca
only,só
over,sobre
love,amor
mean,significa
said,disse
sorry,desculpe
give,dar
off,desligado
am,sou
thank,obrigado
any,algum
two,dois
even,até
much,Muito de
doing,fazendo
sure,claro
thing,coisa
these,esses
help,ajuda
first,primeiro
into,em
still,ainda
find,achar
life,vida
sir,Senhor
day,dia
god,Deus
work,trabalhar
their,seus
uh,uh
again,novamente
maybe,pode ser
must,devo
other,outro
wait,esperar
stop,Pare
call,ligar
after,depois
won,Ganhou
talk,conversa
away,um jeito
than,do que
home,casa
night,noite
put,colocar
great,excelente
those,Essa
last,último
everything,tudo
told,contou
mr.,Senhor.
new,novo
keep,guarda
long,grandes
leave,sair
does,faz
money,dinheiro
doesn,não
name,nome
place,"Lugar, colocar"
ever,sempre
feel,sentir
guys,rapazes
guy,cara
made,feito
old,velho
isn,isn
big,grande
lot,muito
done,feito
hello,olá
nice,legais
girl,menina
fine,multar
kind,Gentil
house,lar
every,todo
ok,OK
being,ser
stay,fique
left,deixei
dad,Papai
came,veio
may,poderia
bad,mau
might,poderia
three,três
today,hoje
understand,Compreendo
hear,ouvir
ask,perguntar
own,ter
same,mesmo
show,mostrar
else,senão
kill,matar
found,encontrado
next,próximo
care,Cuidado
car,carro
son,filho
try,tentar
went,fui
hi,Oi
dead,morto
many,muitos
mind,mente
wasn,não era
best,melhor
mom,mamãe
hell,inferno
boy,Garoto
job,trabalho
saw,viu
real,real
baby,bebê
room,quarto
move,jogada
most,a maioria
seen,visto
live,viver
miss,senhorita
huh,Hã
shit,merda
both,Ambas
heard,ouviu
once,uma vez
ready,pronto
head,cabeça
used,usado
idea,idéia
knew,sabia
hold,aguarde
happy,feliz
door,porta
such,tal
fuck,Porra
also,também
bit,pedaço
took,tomou
haven,refúgio
yet,ainda
men,homens
start,começar
use,usar
since,desde
wife,esposa
days,dias
guess,acho
meet,encontrar
bring,trazer
run,corre
hard,duro
ah,Ah
alone,sozinho
gone,se foi
um,hum
end,fim
phone,telefone
play,Toque
looks,parece
few,alguns
gotta,Tenho que
ago,atrás
open,abrir
hope,ter esperança
face,enfrentar
until,até
lost,perdido
turn,virar
case,caso
says,diz
TRUE,VERDADE
die,morrer
heart,coração
soon,em breve
each,cada
later,mais tarde
year,ano
music,música
hand,mão
sit,sentar
eat,comer
part,papel
kids,crianças
late,tarde
stuff,material
under,debaixo
death,morte
pay,pagar
crazy,louco
kid,miúdo
gave,deram
damn,droga
five,cinco
drink,beber
far,distante
knows,sabe
its,Está
eyes,olhos
shut,fechar
aren,are
hit,acertar
easy,fácil
times,vezes
check,Verifica
hands,mãos
deal,acordo
means,significa
point,ponto
makes,faz
asked,Perguntou
mine,minha
body,corpo
sleep,dorme
dear,caro
quite,bastante
four,quatro
close,perto
ain,Ain
party,Festa
fun,Diversão
word,palavra
comes,vem
set,definir
shall,deve
story,história
least,ao menos
hurt,ferir
wish,desejar
fight,lutar
week,semana
girls,garotas
rest,descanso
fire,incêndio
game,jogos
mr,senhor
side,lado
stand,ficar
read,ler
cut,cortar
child,filho
goes,vai
hours,horas
speak,falar
truth,verdade
blood,sangue
able,capaz
lady,senhora
gets,recebe
shot,tomada
break,parar
war,guerra
city,cidade
walk,andar
town,Cidade
trust,Confiar em
dr.,dr.
met,conheceu
high,Alto
wow,uau
half,metade
died,morreu
cool,legal
free,gratuitamente
seems,parece
power,potência
whoa,Uau
bye,tchau
buy,Comprar
honey,querida
tried,tentou
front,frente
team,equipe
gun,arma de fogo
boys,Rapazes
line,linha
send,mandar
news,notícia
bed,cama
hurry,pressa
full,cheio
save,Salve 
along,ao longo
hate,odiar
food,Comida
light,leve
l,eu
needs,precisa
dog,cão
clear,Claro
order,ordem
em,Em
fact,facto
lord,senhor
six,seis
hot,quente
funny,engraçado
black,Preto
mrs.,Sra.
alive,vivo
pick,escolha
cause,causa
ahead,à frente
lose,perder
king,rei
plan,plano
sighs,suspiros
sort,ordenar
boss,chefe
taken,ocupado
safe,seguro
ma,MA
book,livro
sent,enviado
hour,hora
small,pequena
cause,causa
lives,vidas
s,s
john,João
sick,doente
ha,ha
uncle,tio
poor,pobre
red,vermelho
past,passado
earth,terra
shoot,atirar
touch,toque
sound,som
top,topo
ass,bunda
win,ganhar
glad,alegre
hmm,Hmm
human,humano
drive,dirigir
hair,cabelo
jack,Jack
bitch,cadela
luck,sorte
air,ar
ten,dez
daddy,papai
fast,velozes
cold,resfriado
seem,parecer
hang,pendurar
dance,dança
till,até
catch,truque
sense,senso
sex,sexo
lie,mentira
known,conhecido
dream,Sonhe
sweet,doce
felt,sentiu
sign,sinal
lucky,afortunado
bet,aposta
o,o
jesus,Jesus
quiet,tranquilo
less,menos
pull,puxar
beat,bater
date,encontro
fall,cair
given,dado
ooh,ooh
fault,culpa
takes,leva
song,música
loved,amavam
road,estrada
calm,calma
mad,louco
drop,derrubar
learn,aprender
step,degrau
absolutely,absolutamente
early,cedo
clean,limpar
piece,peça
throw,lançar
land,terra
feet,pés
dude,cara
eye,olho
quick,rápido
state,Estado
sam,Sam
none,Nenhum
ones,uns
act,Aja
law,lei
chief,chefe
pain,dor
am,sou
ya,ya
pass,passar
tired,cansado
class,classe
kept,mantido
wake,acordar
busy,ocupado
eh,Eh
kiss,beijo
court,quadra
age,era
ship,navio
marry,casar
meant,significou
sell,vender
dark,Sombrio
movie,filme
ride,passeio
t,t
completely,completamente
mouth,boca
tv,televisão
born,nascido
information,em formação
definitely,definitivamente
film,filme
month,mês
lying,deitado
train,Comboio
seven,Sete
wear,vestem
hotel,hotel
hasn,Hasn
round,redondo
sing,canta
bag,sacola
blue,azul
near,aproximar
broke,quebrou
david,David
frank,Frank
joe,Joe
table,tabela
rock,Rocha
buddy,camarada
paid,pago
